Title,last,first,date,year,sex,race,race2,Genre
Ancillary Mercy,Leckie,Ann,5/5/19,2015,F,White,White,Fiction
Under the Pendulum Sun,Ng,Jeannette,5/17/19,2017,F,Chinese,Asian,Fiction
A people's future of the United States,,,2/29/19,2019,,,,Fiction
Everything I never told you,Ng,Celeste,5/21/2019,2014,F,Chinese-American,Asian,Fiction
The Calculating Stars,Kowal,Mary Robinette,5/30/19,2018,F,White,White,Fiction
Trail of Lightning,Roanhorse,Rebecca,6/2/19,2018,F,Indigenous,Indigenous,Fiction
Severance,Ma,Ling,6/9/19,2018,F,Chinese-American,Asian,Fiction
Descendant of the crae,He,Joan,6/15/19,2019,F,Chinese-American,Asian,Fiction
The Fortunes,Davies,Peter Ho,6/3/19,2016,M,Chinese-American,Asian,Fiction
White Fight,Kruse,Kevin,7/10/19,2005,M,White,White,Non-fiction
Storm of locusts,Roanhorse,Rebecca,7/12/19,2019,F,Indigenous,Indigenous,Fiction
The Fated Sky,Kowal,Mary Robinette,7/18/19,2018,F,White,White,Fiction
The Night Tiger,Choo,Yangsze,7/24/19,2019,F,Chinese-American,Asian,Fiction
Jade War,Lee,Fonda,7/30/19,2019,F,Chinese-Canadian,Asian,Fiction
Empire of Sand,Suri,Tasha,8/8/19,2019,F,Indian-English,Asian,Fiction
The Dragon Republic,Kuang,Rebecca,8/12/19,2019,F,Chinese-American,Asian,Fiction
Cribsheet,Oster,Emily,8/13/19,2019,F,White,White,Fiction
How to be an antiracst,Kendi,Ibram X.,8/28/19,2019,M,Black,Black,Non-fiction
On Earth We're Briefly Gorgeous,Vuong,Ocean,9/5/19,2019,M,Vietnamese-American,Asian,Fiction
The Downstairs Girl,Lee,Stacey,9/10/19,2019,F,Chinese-American,Asian,Fiction
A Memory Called Empire,Martine,Arkady,9/18/19,2019,F,White,White,Non-fiction
The Evangelicals: the struggle to shape America,FitzGerald,Frances,10/4/19,2017,F,White,White,Non-fiction
Waste Tide,Chen,Qiufan,10/10/19,2019,M,Chinese,Asian,Fiction
Broken Stars,Liu,Ken,10/19/19,2019,M,Chinese,Asian,Fiction
Exhalation: Stories,Chiang,Ted,10/26/19,2019,M,Chinese-American,Asian,Fiction
The Woman Warrior,Kingston,Maxine Hong,11/5/19,1976,F,Chinese-American,Asian,Non-fiction
The Memory Police,Ogawa,Yoko,11/7/19,1994,F,Japanese,Asian,Fiction
The City of Brass,Chakraborty,Shannon,11/12/19,2017,F,White,White,Fiction
The Kingdom of Copper,Chakraborty,Shannon,11/16/19,2019,F,White,White,Fiction
Miracle Creek,Kim,Angie,11/21/19,2019,F,Korean-American,Asian,Fiction
Chop suey : a cultural history of Chinese food in the United States,Coe,Andrew,11/28/19,2009,M,White,White,Non-fiction
Gods of Jade and Shadow,Morena-Garcia,Silvia,12/2/19,2019,F,Hispanic,Hispanic,Fiction
The Redemption of Time,Baoshu,,12/8/19,2019,M,Chinese,Asian,Fiction
Realm of Ash,Suri,Tasha,12/21/19,2019,F,Indian-English,Asian,Fiction
Stories of Your Life and Others,Chiang,Ted,12/31/19,2002,M,Chinese-American,Asian,Fiction
What is a girl worth?,Denhollander,Rachael,9/21/19,2019,F,White,White,Non-fiction
